Sampler:TPESampler
(27, 36, 85, 55, 0, 31, 62, 25, 68), 18.0
(20, 44, 93, 48, 13, 42, 68, 31, 74), 15.0
(18, 43, 93, 46, 15, 44, 67, 23, 75), 17.0
(6, 46, 99, 51, 8, 35, 79, 32, 59), None
(0, 41, 91, 43, 22, 54, 53, 36, 68), 19.0
(33, 28, 87, 59, 27, 29, 86, 40, 78), 16.0
(20, 34, 66, 69, 16, 42, 46, 28, 86), 16.0
(11, 39, 82, 68, 4, 36, 66, 20, 96), None
(29, 62, 78, 48, 20, 54, 59, 14, 72), 15.0
(30, 67, 2, 61, 32, 25, 62, 4, 83), None
(24, 75, 78, 48, 10, 64, 70, 13, 61), 16.0
(29, 61, 94, 54, 20, 46, 59, 7, 71), None
(14, 61, 75, 36, 7, 52, 51, 15, 50), None
(34, 49, 90, 79, 34, 27, 77, 24, 72), None
(37, 26, 70, 66, 78, 82, 34, 46, 89), 15.0
(23, 33, 65, 57, 64, 71, 44, 52, 95), 14.0
(36, 25, 62, 66, 65, 79, 34, 0, 88), 16.0
(20, 30, 74, 53, 19, 72, 54, 43, 78), 19.0
(45, 19, 79, 46, 56, 57, 27, 58, 90), 17.0
(26, 33, 66, 78, 73, 67, 46, 60, 94), 18.0
(60, 39, 64, 58, 52, 87, 35, 52, 96), None
(17, 5, 57, 56, 94, 93, 14, 34, 86), None
(22, 36, 68, 62, 83, 90, 43, 51, 82), 16.0
(28, 46, 83, 39, 27, 40, 49, 48, 76), 14.0
(29, 52, 84, 41, 43, 38, 49, 49, 69), None
(15, 46, 87, 18, 26, 33, 37, 40, 76), 18.0
(39, 27, 70, 65, 80, 83, 42, 47, 90), 16.0
(8, 43, 73, 30, 89, 46, 50, 29, 94), 14.0
(9, 41, 10, 29, 95, 41, 48, 29, 80), None
(5, 45, 76, 32, 14, 48, 56, 20, 63), None
(13, 52, 73, 35, 18, 46, 68, 30, 84), 17.0
(24, 31, 81, 38, 88, 64, 55, 64, 94), None
(36, 23, 83, 27, 27, 57, 60, 38, 73), None
(32, 38, 64, 52, 67, 17, 32, 47, 98), None
(22, 42, 96, 20, 4, 44, 38, 57, 95), None
(19, 24, 89, 41, 78, 38, 73, 54, 92), 18.0
(29, 50, 76, 48, 13, 53, 64, 18, 11), 16.0
(16, 35, 69, 61, 88, 85, 47, 44, 87), 16.0
(8, 46, 80, 44, 11, 75, 59, 26, 57), 14.0
(26, 47, 79, 45, 10, 74, 60, 21, 57), 18.0
(3, 57, 77, 39, 93, 9, 58, 16, 51), None
(8, 32, 72, 58, 72, 79, 51, 35, 89), None
(11, 21, 59, 43, 77, 80, 32, 27, 80), None
(12, 44, 86, 34, 60, 75, 26, 26, 66), None
(71, 38, 73, 54, 84, 84, 40, 60, 37), None
(7, 40, 51, 71, 87, 3, 44, 24, 97), None
(28, 55, 83, 50, 16, 43, 65, 30, 76), 14.0
(21, 43, 83, 50, 17, 43, 70, 31, 76), None
(18, 55, 80, 48, 11, 50, 64, 33, 65), 19.0
(32, 61, 94, 44, 21, 40, 75, 39, 70), 14.0
(31, 62, 88, 44, 22, 35, 86, 27, 70), 17.0
(40, 52, 91, 56, 6, 21, 51, 47, 44), None
(27, 59, 94, 39, 24, 39, 83, 38, 62), None
(23, 66, 98, 51, 99, 46, 76, 41, 54), None
(34, 50, 86, 47, 14, 30, 75, 35, 74), 16.0
(15, 48, 89, 37, 30, 41, 68, 30, 59), None
(25, 69, 82, 52, 22, 51, 72, 22, 78), None
(98, 65, 78, 45, 20, 47, 62, 25, 67), None
(37, 13, 69, 63, 81, 78, 98, 50, 99), None
(28, 37, 65, 59, 85, 87, 53, 51, 94), 18.0
(42, 28, 75, 67, 91, 33, 30, 53, 91), None
(31, 55, 84, 55, 2, 69, 49, 19, 71), None
(23, 72, 80, 42, 16, 66, 56, 11, 81), 14.0
(93, 77, 81, 42, 12, 63, 66, 42, 81), None
(51, 79, 72, 30, 16, 67, 54, 37, 83), 16.0
(34, 87, 96, 49, 45, 36, 19, 12, 77), None
(24, 33, 70, 53, 75, 81, 42, 45, 85), 16.0
(19, 41, 67, 40, 10, 73, 61, 10, 92), None
(44, 62, 78, 43, 96, 54, 57, 6, 69), None
(1, 73, 93, 46, 17, 43, 70, 28, 88), 16.0
(26, 82, 75, 60, 89, 92, 38, 54, 47), 18.0
(21, 45, 85, 50, 9, 26, 46, 32, 85), None
(32, 53, 92, 13, 37, 57, 65, 23, 80), 15.0
(16, 30, 62, 63, 80, 76, 44, 49, 95), 15.0
